TRANSACTION_ID,TRANSACTION_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_PERCENT,TAX_AMOUNT,TOTAL_AMOUNT,PAYMENT_METHOD,STORE_ID,REGION
TXN20260301001,2026-03-01 09:15:23,1001,P1001,1,1299.99,10,117.00,1286.99,Credit Card,ST001,Northeast
TXN20260301002,2026-03-01 09:32:45,1002,P1002,2,29.99,0,5.40,65.38,Debit Card,ST002,West
TXN20260301003,2026-03-01 10:05:12,1003,P1003,1,249.99,5,23.25,260.74,Credit Card,ST003,Midwest
TXN20260301004,2026-03-01 10:22:38,1004,P1005,1,349.99,0,31.50,381.49,PayPal,ST004,South
TXN20260301005,2026-03-01 11:10:55,1005,P1006,1,89.99,15,7.13,83.62,Credit Card,ST005,Southwest
TXN20260301006,2026-03-01 11:45:20,1006,P1007,3,39.99,0,10.80,130.77,Cash,ST001,Northeast
TXN20260301007,2026-03-01 13:20:15,1007,P1008,5,12.99,0,5.85,70.80,Debit Card,ST006,South
TXN20260301008,2026-03-01 14:05:42,1008,P1010,1,179.99,10,15.30,177.29,Credit Card,ST002,West
TXN20260301009,2026-03-01 14:35:28,1009,P1011,2,49.99,0,9.00,108.98,PayPal,ST004,South
TXN20260301010,2026-03-01 15:12:50,1010,P1004,1,499.99,20,38.40,438.39,Credit Card,ST003,Midwest
TXN20260301011,2026-03-01 15:48:33,1001,P1009,1,19.99,0,1.80,21.79,Credit Card,ST001,Northeast
TXN20260301012,2026-03-01 16:22:05,1003,P1012,1,129.99,5,11.62,135.11,Debit Card,ST003,Midwest
